"Title","Company","Location","Created","Category","Description","URL","Latitude","Longitude"
"Software Technical Leader - C | Linux | Platform Infrastructure | 12 - 15 Yrs","Cisco","Bangalore, Karnataka","2025-06-26T23:39:57Z","IT Jobs","Software Technical Leader - C | Linux | Platform Infrastructure | 12 - 15 Yrs Apply (https://jobs.cisco.com/jobs/Login?projectId=1442629) - Location:Bangalore, India - Area of InterestEngineer - Software - Job TypeProfessional - Technology InterestSecurity - Job Id1442629 What You Will Do: Cisco offers an excellent opportunity to advance your career aspirations. You will bring your unique talents to a team that develops Cisco's cutting-edge routing technology, widely regarded as the transport m…","https://www.adzuna.in/land/ad/5269932078?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=22A30D5BE3F30CA27A8F9F9408531D3328355B80","12.95703","77.59837"
"Sr Firmware Engineer","Ralliant","India","2025-07-03T01:48:07Z","Engineering Jobs","Your Impact You will be working on sophisticated, industrial, real time operating systems involving real time data acquisition and post processing of data for analysis and reports. This team of engineers develops innovative monitoring systems used for transformer monitoring at electrical sub stations. Here's where you'll demonstrate your proficiencies: - Embedded systems, firmware development with specific focus on Linux and real time embedded systems. - Developing advance firmware solutions fo…","https://www.adzuna.in/land/ad/5280448635?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=881BDC092385D534DB0D1CF53682E87AFCCEC082","22.3511148","78.6677428"
"Staff RAS and Manageability Controller Firmware Developer/8 to 10 years","Qualcomm","Bangalore, Karnataka","2025-07-04T02:17:37Z","IT Jobs","Company: Qualcomm India Private Limited Job Area: Engineering Group, Engineering Group > Software Engineering General Summary: As a leading technology innovator, Qualcomm pushes the boundaries of what's possible to enable next-generation experiences and drives digital transformation to help create a smarter, connected future for all. As a Qualcomm Software Engineer, you will design, develop, create, modify, and validate embedded and cloud edge software, applications, and/or specialized utility …","https://www.adzuna.in/land/ad/5282461912?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=70EE8C6D46AD913BE513597D39E7F28BFEC155BF","12.95703","77.59837"
"RAS and Manageability Controller Firmware Developer","Qualcomm","Bangalore, Karnataka","2025-07-18T11:45:23Z","IT Jobs","Company: Qualcomm India Private Limited Job Area: Engineering Group, Engineering Group > Software Engineering General Summary: As a leading technology innovator, Qualcomm pushes the boundaries of what's possible to enable next-generation experiences and drives digital transformation to help create a smarter, connected future for all. As a Qualcomm Software Engineer, you will design, develop, create, modify, and validate embedded and cloud edge software, applications, and/or specialized utility …","https://www.adzuna.in/land/ad/5309607714?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=03CAA924E4CDD2B51D137578B52EA9545BD17BDF","12.95703","77.59837"
"Advanced Lead Engineer - Firmware Development","Wabtec Corporation","Bangalore, Karnataka","2025-07-17T10:39:33Z","IT Jobs","It's not just about your career or job title It's about who you are and the impact you will make on the world. Because whether it's for each other or our customers, we put People First. When our people come together, we Expand the Possible and continuously look for ways to improve what we create and how we do it. If you are constantly striving to grow, you're in good company. We are revolutionizing the way the world moves for future generations, and we want someone who is ready to move with us.…","https://www.adzuna.in/land/ad/5307823223?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=35C9265C6853095D99AC1959EF3A2CB85ED0FB1F","12.9881567","77.6226000"
"Lead Engineer - Firmware Development","Wabtec Corporation","Bangalore, Karnataka","2025-07-17T10:39:32Z","IT Jobs","It's not just about your career or job title It's about who you are and the impact you will make on the world. Because whether it's for each other or our customers, we put People First. When our people come together, we Expand the Possible and continuously look for ways to improve what we create and how we do it. If you are constantly striving to grow, you're in good company. We are revolutionizing the way the world moves for future generations, and we want someone who is ready to move with us.…","https://www.adzuna.in/land/ad/5307823220?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=5617AD3CD1964BF4410164C2943E62DC51AA79E9","12.9881567","77.6226000"
"Engineer, Senior - Firmware Development","Qualcomm","Hyderabad, Telangana","2025-07-05T02:23:24Z","IT Jobs","Company: Qualcomm India Private Limited Job Area: Engineering Group, Engineering Group > Software Engineering General Summary: As a leading technology innovator, Qualcomm pushes the boundaries of what's possible to enable next-generation experiences and drives digital transformation to help create a smarter, connected future for all. As a Qualcomm Software Engineer, you will design, develop, create, modify, and validate embedded and cloud edge software, applications, and/or specialized utility …","https://www.adzuna.in/land/ad/5285831199?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=DB3B5C34C4FBA1E16051629416DC29EBE07BE98B","17.40275","78.50806"
"Sr Advanced Embedded Engr","Honeywell","Bangalore, Karnataka","2025-07-09T04:02:12Z","Engineering Jobs","Job Description of Sr Advanced Embedded Engineer Honeywell is a fortune 100 diversified technology and manufacturing leader, serving customers worldwide with aerospace products and services; control technologies for buildings, homes, and industry; automotive products; turbochargers; and specialty materials. Based in Morris Township, N.J., Honeywell's shares are traded on the New York, London, and Chicago Stock Exchanges. As a global technology leader, we have 123,000 employees working in more t…","https://www.adzuna.in/land/ad/5292690014?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=BE36DDFF2CBE8A50E78ABCE66751C81E1427DEF2","12.9881567","77.6226000"
"Technology Specialist - Firmware","Resideo","India","2025-07-16T10:39:58Z","Engineering Jobs","Be part of a team that designs, develops and integrates embedded firmware for the latest in home automation IOT devices for comfort applications. With focus on device connectivity, you will be responsible to ensure highly efficient, reliable and predicatable wireless communication between different products, cloud and mobile App. You will use your experience and technical skills to design and implement features targeted for the North American and European residential markets. You will partner w…","https://www.adzuna.in/land/ad/5305892144?se=munTFcBn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=AA6F821F75E0EBF78FA7EEF3D4EBD9359C861281","22.3511148","78.6677428"
"Sr. Embedded Developer","ANRGI TECH","Cahmrajendrapet, Bangalore","2025-07-02T21:08:44Z","IT Jobs","Title: Embedded Developer Qualification: BE E&amp;C/E&amp;E/Instrumentation/CS Good to have: Embedded development training Experience: 6 Years to 8 Years Notice period: Immediate joiners only. Location: Bangalore Mode of work - Work from office Responsibilities: Engineer should be able to develop drivers and embedded application using STM chipsets like ESP32, ESP8266 Engineer should be able understand hardware schematics, microcontroller/microprocessor and peripherals data sheets. Mandatory Ski…","https://www.adzuna.in/details/5280128707?utm_medium=api&utm_source=c8890522","12.96745","77.5822"
