"Title","Company","Location","Created","Category","Description","URL","Latitude","Longitude"
"SAP VISTEX Change Manager - Business System Analyst","Amgen","Hyderabad, Telangana","2025-07-22T09:54:25Z","IT Jobs","Join Amgen's Mission of Serving Patients At Amgen, if you feel like you're part of something bigger, it's because you are. Our shared mission-to serve patients living with serious illnesses-drives all that we do. Since 1980, we've helped pioneer the world of biotech in our fight against the world's toughest diseases. With our focus on four therapeutic areas -Oncology, Inflammation, General Medicine, and Rare Disease- we reach millions of patients each year. As a member of the Amgen team, you'll…","https://www.adzuna.in/land/ad/5315975949?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=DB07C595FF0E49F695A7627CA7E21D5774409460","17.40275","78.50806"
"Specialist IS Business Systems Analyst - Advanced Scientific Computing","Amgen","Hyderabad, Telangana","2025-06-30T23:41:31Z","IT Jobs","Join Amgen's Mission of Serving Patients At Amgen, if you feel like you're part of something bigger, it's because you are. Our shared mission-to serve patients living with serious illnesses-drives all that we do. Since 1980, we've helped pioneer the world of biotech in our fight against the world's toughest diseases. With our focus on four therapeutic areas -Oncology, Inflammation, General Medicine, and Rare Disease- we reach millions of patients each year. As a member of the Amgen team, you'll…","https://www.adzuna.in/land/ad/5275979420?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=8F36794EFB7F0AEE60399C2ECD4DC1187F5CA383","17.40275","78.50806"
"SQL & Unix Systems Analyst - Delivery & Customer Support","Oracle","Hyderabad, Telangana","2025-07-09T04:03:13Z","IT Jobs","Job Description Mandatory Skills: - Bachelor's degree in computer science (B.Tech or BE preferred) with two years of relevant experience - Proficient in English with excellent communication skills - Strong understanding of cloud computing principles and functionalities, including IaaS, PaaS, and SaaS - Willingness to work 24/7, including weekends and shifts as needed - Ability to coordinate, organize, and prioritize work activities for yourself and others - Proven customer service skills - Comp…","https://www.adzuna.in/land/ad/5292692839?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=0E93FF3BCDCF13C0F38ED003A27A59585923EBD5","17.40275","78.50806"
"SQL & Unix Systems Analyst - Delivery & Customer Support","Oracle","Bangalore, Karnataka","2025-07-09T04:03:13Z","IT Jobs","Job Description As a member of the Support organization, your primary focus is to provide post-sales support and solutions to the Oracle customer base while advocating for customer needs. This role involves handling customer inquiries via phone, email, and Service Requests, as well as addressing technical queries related to troubleshooting within our Electronic Support Services You'll play a key role in maintaining customer relationships, and you'll also assist internal Oracle employees with va…","https://www.adzuna.in/land/ad/5292692848?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=4A4C79BCDACC18A102457F9D1454EA63273A0247","12.9881567","77.6226000"
"Sr Associate IS Business Systems Analyst - Veeva RIM","Amgen","Hyderabad, Telangana","2025-06-30T23:41:32Z","IT Jobs","Join Amgen's Mission of Serving Patients At Amgen, if you feel like you're part of something bigger, it's because you are. Our shared mission-to serve patients living with serious illnesses-drives all that we do. Since 1980, we've helped pioneer the world of biotech in our fight against the world's toughest diseases. With our focus on four therapeutic areas -Oncology, Inflammation, General Medicine, and Rare Disease- we reach millions of patients each year. As a member of the Amgen team, you'll…","https://www.adzuna.in/land/ad/5275979673?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=B948ECEEA1FB484E53EE56AAE08321BDCBE2F311","17.40275","78.50806"
"SQL & Unix Systems Analyst - Delivery & Customer Support","Oracle","Bangalore, Karnataka","2025-07-10T04:15:21Z","IT Jobs","Job Description Mandatory Skills: - Bachelor's degree in computer science (B.Tech or BE preferred) with two years of relevant experience - Proficient in English with excellent communication skills - Strong understanding of cloud computing principles and functionalities, including IaaS, PaaS, and SaaS - Willingness to work 24/7, including weekends and shifts as needed - Ability to coordinate, organize, and prioritize work activities for yourself and others - Proven customer service skills - Comp…","https://www.adzuna.in/land/ad/5294882318?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=FE9E8C942A2AFACF7DD520AEF381C9C5E55C2E61","12.9881567","77.6226000"
"Systems Administration Analyst","NTT America, Inc.","Bangalore, Karnataka","2025-07-13T10:38:45Z","IT Jobs","Req ID: 325715 NTT DATA strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Systems Administration Analyst to join our team in Bangalore, Karnataka (IN-KA), India (IN). At NTT DATA, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our compan…","https://www.adzuna.in/land/ad/5300568523?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=A316972755E2DD2EBC17F3FB58CFC152C08D4019","12.95703","77.59837"
"Systems Programming Analyst - Deployment/Release","UPS","Chennai, Tamil Nadu","2025-07-21T12:06:29Z","IT Jobs","Before you apply to a job, select your language preference from the options available at the top right of this page. Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow-people with a unique combination of skill  passion. If you have the qualities and drive to lead yourself or teams, there are role…","https://www.adzuna.in/land/ad/5314281350?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=5A571498325FBBB9FCA77E1336F7B2B305F1187F","13.06041","80.24963"
"System Analysis Senior Analyst","The Cigna Group","Hyderabad, Telangana","2025-07-09T04:01:34Z","IT Jobs","Add in a functional EVP before role details - ANSR to take point on creating these statements. ABOUT EVERNORTH: Evernorth? exists to elevate health for all, because we believe health is the starting point for human potential and progress. As champions for affordable, predictable and simple health care, we solve the problems others don't, won't or can't. Our innovation hub in India will allow us to work with the right talent, expand our global footprint, improve our competitive stance, and bette…","https://www.adzuna.in/land/ad/5292689559?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=0C8152E2FEB06222D0E033587818F2DA49916579","17.40275","78.50806"
"HR Systems Functional Analyst - Compensation/Adaptive Planning","PVH Corp.","Bangalore, Karnataka","2025-07-13T10:38:23Z","HR & Recruitment Jobs","About Us: We are brand builders who focus our passion and creativity to build Calvin Klein and TOMMY HILFIGER into the most desirable lifestyle brands in the world and at the same time position PVH as one of the best-performing brand groups in our sector. Guided by our values and enabled by our scale and global reach, we are driving fashion forward for good, as one team with one vision and one plan. That's the Power of Us, that's the Power of PVH.??? One of PVH's greatest strengths is our peopl…","https://www.adzuna.in/land/ad/5300568128?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=F1374BCDB857346604F9B39EFB3BFE7B4FDB9864","12.95703","77.59837"
"Senior System Programming Analyst - Linux VmWare Admin","UPS","Chennai, Tamil Nadu","2025-07-21T12:06:40Z","IT Jobs","Before you apply to a job, select your language preference from the options available at the top right of this page. Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow-people with a unique combination of skill  passion. If you have the qualities and drive to lead yourself or teams, there are role…","https://www.adzuna.in/land/ad/5314281468?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=B9D90335BB54F17E41FAFD3951AE7345C0E27447","13.06041","80.24963"
"Experienced Systems & Data Analyst - Dot Net Full Stack","The Boeing Company","Bangalore, Karnataka","2025-07-19T11:44:58Z","IT Jobs","Job Description At Boeing, we innovate and collaborate to make the world a better place. We're committed to fostering an environment for every teammate that's welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us. Overview As a leading global aerospace company, Boeing develops, manufactures and services commercial airplanes, defense products and space systems for customers in more than 150 countries. As a top U.S. exporter, the company lev…","https://www.adzuna.in/land/ad/5311787200?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=5EDD96009AD809D39FABA52BE57DCC2B70313D45","12.9881567","77.6226000"
"Senior Analyst System Administration & Support","Bank of America","Mumbai, Maharashtra","2025-07-12T10:43:01Z","IT Jobs","Senior Analyst System Administration & Support Mumbai, India;Chennai, India; Gf, Hyderabad To proceed with your application, you must be at least 18 years of age. Acknowledge Refer a friend To proceed with your application, you must be at least 18 years of age. Acknowledge (https://ghr.wd1.myworkdayjobs.com/lateral-ba\continuum/job/Mumbai/Senior-Analyst-System-AdministrationSupport\25026450) Job Description: About Us At Bank of America, we are guided by a common purpose to help make financial l…","https://www.adzuna.in/land/ad/5299202302?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=A830F53CE9D4C8F67E08F4C1FD2A234E2BBA9E01","19.00821","72.84415"
"Senior Analyst System Administration & Support","Bank of America","India","2025-07-13T10:38:02Z","IT Jobs","Senior Analyst System Administration & Support Mumbai, India;Chennai, India; Gf, Hyderabad To proceed with your application, you must be at least 18 years of age. Acknowledge Refer a friend To proceed with your application, you must be at least 18 years of age. Acknowledge (https://ghr.wd1.myworkdayjobs.com/lateral-ba\continuum/job/Mumbai/Senior-Analyst-System-AdministrationSupport\25026450) Job Description: About Us At Bank of America, we are guided by a common purpose to help make financial l…","https://www.adzuna.in/land/ad/5300567162?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=9EE1EC34E0B079991ABF66EE3D2A6822037AE5F0","22.3511148","78.6677428"
"Systems Analysis Senior Analyst - HIH - Evernorth","The Cigna Group","Hyderabad, Telangana","2025-06-28T23:43:34Z","IT Jobs","Systems Analysis Senior Analyst Responsibilities - Lead delivery of IT scope for assigned projects and applications. - Lead the review of Business Requirements and work closely with business partners to complete detailed business requirement documentation to reduce ambiguity. - Clearly define systems work scope and objectives based on Business Requirements. - Clearly understand the business problem and business value of requirements, understanding the minimal viable product that meets business …","https://www.adzuna.in/land/ad/5273716510?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=BECB33B08BD5AB7AEBEE45120BE086495DD26049","17.40275","78.50806"
"Systems Analysis Senior Analyst - HIH - Evernorth","The Cigna Group","Hyderabad, Telangana","2025-06-24T23:41:58Z","IT Jobs","Responsibilities - Lead delivery of IT scope for assigned projects and applications. - Lead the review of Business Requirements and work closely with business partners to complete detailed business requirement documentation to reduce ambiguity. - Clearly define systems work scope and objectives based on Business Requirements. - Clearly understand the business problem and business value of requirements, understanding the minimal viable product that meets business need - Provide comprehensive con…","https://www.adzuna.in/land/ad/5266060977?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=6752B48C3A3142C65B5238DDEFE1854C9F730638","17.40275","78.50806"
"Systems Analysis Lead Analyst - HIH - Evernorth","The Cigna Group","Hyderabad, Telangana","2025-06-28T23:43:34Z","IT Jobs","ABOUT EVERNORTH: Evernorth? exists to elevate health for all, because we believe health is the starting point for human potential and progress. As champions for affordable, predictable, and simple health care, we solve the problems others don't, won't or can't. Our innovation hub in India will allow us to work with the right talent, expand our global footprint, improve our competitive stance, and better deliver on our promises to stakeholders. We are passionate about making healthcare better by…","https://www.adzuna.in/land/ad/5273716518?se=2FzEcrxn8BGcHsrSWPcPfw&utm_medium=api&utm_source=c8890522&v=F6DDBCACA1A3DA01DB19A40DFB4769751527B6A2","17.40275","78.50806"
