"Title","Company","Location","Created","Category","Description","URL","Latitude","Longitude"
"Senior Engineer - Embedded Linux Developer","Eaton Corporation","Hadapsar, Pune","2025-07-18T11:44:03Z","IT Jobs","What you'll do: ""If you desire to be part of something special, to be part of a winning team, to be part of a fun team; here is a chance to fulfill your desire. Eaton is looking forward to a Senior Engineer for XC Productsin its Automation & Digital Solution (ADS) business. In Eaton, making our work exciting, engaging, meaningful; ensuring safety, health, wellness; and being a model of inclusion & diversity are already embedded in who we are - it's in our values, part of our vision, and our cle…","https://www.adzuna.in/land/ad/5309606902?se=WFlZM71n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=7E639A1A27AACEF882C02BABD264C52CA8CF0858","18.5219","73.95314"
"Solutions Architect (Supply Chain), Enterprise Products","Meta","Bangalore, Karnataka","2025-07-23T09:52:10Z","IT Jobs","Summary: At Meta, we're shaping cutting-edge experiences in service of giving people the power to build community and bring the world closer together. Our multidisciplinary product teams are creating new ways to help people connect, find communities and grow businesses. Together, we are committed to building innovative technologies - Facebook, Instagram, Messenger, WhatsApp, Workplace, Meta Quest and more - to serve billions of people around the globe.We are seeking an experienced o9 applicatio…","https://www.adzuna.in/land/ad/5317564710?se=WFlZM71n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=15A23E333C372756D5F01DA218C349BA7359B543","12.95703","77.59837"
"Architect - Product Security","Envestnet","India","2025-07-01T03:19:14Z","IT Jobs","Description Responsibilities Define and enforce secure coding standards and best practices. Perform threat modeling, security architecture reviews, and code analysis. Design and implement secure CI/CD pipelines with integrated security controls. Automate security testing (SAST, DAST, IAST, SCA, container scanning) in SDLC process. Evaluate and integrate security tools and platforms Lead DevSecOps program in collaboration with DevOps, Operations and Engineering teams Build automation focused on …","https://www.adzuna.in/details/5276301366?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Sr. Engineer- CrowdStrike | On-Site, Bangalore","Optiv","Bangalore, Karnataka","2025-07-20T12:01:56Z","IT Jobs","Endpoint Senior Engineer, Cyber Operations is responsible for post-sales product and service implementation. Sr. Endpoint Engineers are responsible for completing assigned projects in a manner consistent with the team's Operational Standard, which emphasizes the importance of providing exceptional customer service. They are also responsible for meeting consulting billing objectives. How you'll make an impact : - Experience in Endpoint Security Platforms e.g. AV, EDR, XDR, DLP, Encryption, etc. …","https://www.adzuna.in/land/ad/5313261880?se=WFlZM71n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=019EEE05B851C6CF4E920EAD67C64798FFBB3EE9","12.95703","77.59837"
"Sr. Engineer - Crowdstrike | Onsite, Bangalore","Optiv","Bangalore, Karnataka","2025-07-02T01:42:19Z","IT Jobs","About the job At Optiv, we're on a mission to help our clients make their businesses more secure. We're one of the fastest-growing companies in a truly essential industry. In your role at Optiv, you'll be inspired by a team of the brightest business and technical minds in cybersecurity. We are passionate champions for our clients and know from experience that the best solutions for our clients' needs come from working hard together. As part of our team, your voice matters, and you will do impor…","https://www.adzuna.in/land/ad/5278416993?se=WFlZM71n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=7C5C656163F3CB3DF52F0A13BE56EE37F25E3217","12.95703","77.59837"
"Software developement engineer- Salesforce","Delta Air Lines","Bangalore, Karnataka","2025-07-03T08:32:53Z","IT Jobs","Responsibilities: Collaborates with product team members (UX, architects, and product management) to create secure, reliable, scalable software solutions Writes custom code or scripts to automate infrastructure, monitoring services, test cases, to do destructive testing to ensure adequate resiliency in production Collaborate cross-functionally with business and other IT teams across Delta Champion development and integration standards, best practices, and their related deliverables Aim to deliv…","https://www.adzuna.in/land/ad/5280817723?se=WFlZM71n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=D6DD5BAF08E40CB045122430F4EF0178A5B6FF76","12.9881567","77.6226000"
"Principal Product Manager - Technical","Mastercard","Pune, Maharashtra","2025-06-25T23:41:02Z","IT Jobs","Our Purpose Mastercard powers economies and empowers people in 200 countries and territories worldwide. Together with our customers, we're helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest pot…","https://www.adzuna.in/land/ad/5267900901?se=WFlZM71n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=5D1A31D2E17555DF2B46BAC900DF029025509F85","18.5062","73.84735"
"Intermediate Application Developer - IBM webmethods (iPaas, On-Prem)","UPS","Chennai, Tamil Nadu","2025-07-21T12:07:13Z","IT Jobs","Before you apply to a job, select your language preference from the options available at the top right of this page. Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow-people with a unique combination of skill  passion. If you have the qualities and drive to lead yourself or teams, there are role…","https://www.adzuna.in/land/ad/5314281586?se=WFlZM71n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=16971BC582AF8D17B26B730DCA79EAF14E9B45FB","13.06041","80.24963"
"Senior Applications Developer - IBM webmethods (iPaas, On-Prem)","UPS","Chennai, Tamil Nadu","2025-07-21T12:07:17Z","IT Jobs","Before you apply to a job, select your language preference from the options available at the top right of this page. Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow-people with a unique combination of skill  passion. If you have the qualities and drive to lead yourself or teams, there are role…","https://www.adzuna.in/land/ad/5314281646?se=WFlZM71n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=E7BE7899AC38A7015C350FADD90FC6AC4D433D1A","13.06041","80.24963"
"Lead Software Engineer","Mastercard","Pune, Maharashtra","2025-07-19T11:45:09Z","IT Jobs","Our Purpose Mastercard powers economies and empowers people in 200 countries and territories worldwide. Together with our customers, we're helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest pot…","https://www.adzuna.in/land/ad/5311787808?se=WFlZM71n8BGKI6JUBKSKRg&utm_medium=api&utm_source=c8890522&v=CF3576862991C35144899E1EC63D78E8523B7764","18.5062","73.84735"
