"Title","Company","Location","Created","Category","Description","URL","Latitude","Longitude"
"Dielectric Simulation Engineer - Transformers","Hitachi","Chennai, Tamil Nadu","2025-07-19T02:44:10Z","Engineering Jobs","Location: Chennai, Tamil Nadu, India Job ID: R0090380 Date Posted: 2025-06-17 Company Name: HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED Profession (Job Category): Engineering & Science Job Schedule: Full time Remote: No Job Description: The opportunity: Contribute with own ideas to identify, propose and implement innovative technology development and solutions. Solve industrial problems independently. How you’ll make an impact: Demonstrate your technical expertise by undertaking a variet…","https://www.adzuna.in/details/5310710685?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Lead Grid Modelling Engineer","GE Vernova","Chennai, Tamil Nadu","2025-07-18T02:41:41Z","Engineering Jobs","Job Description Summary Systems engineering is a cross-functional engineering discipline centered on an approach, mindset, and process. All activities that consider both the business and the technical needs of the customers with the goal of providing a quality product that meets the user’s needs. The discipline that executes a robust process of design, creation, and optimization of systems, consisting of identification and quantification of system requirements, creation of alternate system desi…","https://www.adzuna.in/details/5309012305?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"R&D Engineer - HVDC Control and Protection Engineer - IDC","Hitachi","Chennai, Tamil Nadu","2025-07-25T02:39:00Z","Engineering Jobs","Location: Chennai, Tamil Nadu, India Job ID: R0098832 Date Posted: 2025-07-07 Company Name: HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED Profession (Job Category): Engineering & Science Job Schedule: Full time Remote: No Job Description: The opportunity: You will be responsible for Functional type testing of AC protection functions for the HVDC stations as per the IEC standards using secondary injection kits and real time simulation environment and getting the certification done by the au…","https://www.adzuna.in/details/5320676843?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Senior Electrical Engineer","ETAP","Mumbai, Maharashtra","2025-06-27T03:14:34Z","Engineering Jobs","ETAP empowers customers to make informed decisions throughout the life cycle of their projects with innovative software solutions for electrical systems. By applying ETAP solutions, customers experience continuous intelligence during design and engineering and into operations and maintenance using a unified electrical digital twin platform. ETAP supports customers in their digital transformation and sustainable energy transitions for a green and smart future, helping them to prioritize safety, …","https://www.adzuna.in/details/5270418161?utm_medium=api&utm_source=c8890522","19.00821","72.84415"
"Associate - Power Systems","WSP USA","Bangalore, Karnataka","2025-07-04T02:21:21Z","Engineering Jobs","WSP is one of the world's leading professional services consulting firms. We are dedicated to our local communities and propelled by international brainpower. We are technical experts and strategic advisors including engineers, technicians, scientists, architects, planners, surveyors and environmental specialists, as well as other design, program and construction management professionals. We design lasting solutions in the Transportation & Infrastructure, Property & Buildings, Earth & Environme…","https://www.adzuna.in/land/ad/5282462887?se=EOMv6jJp8BGC99c6DT825g&utm_medium=api&utm_source=c8890522&v=19E959370001C2C89206BA9DFE3305124AAABD1F","12.9881567","77.6226000"
"Associate - Power Systems","WSP USA","Mumbai, Maharashtra","2025-07-04T02:21:21Z","Engineering Jobs","WSP is one of the world's leading professional services consulting firms. We are dedicated to our local communities and propelled by international brainpower. We are technical experts and strategic advisors including engineers, technicians, scientists, architects, planners, surveyors and environmental specialists, as well as other design, program and construction management professionals. We design lasting solutions in the Transportation & Infrastructure, Property & Buildings, Earth & Environme…","https://www.adzuna.in/land/ad/5282462895?se=EOMv6jJp8BGC99c6DT825g&utm_medium=api&utm_source=c8890522&v=D8F2753431DF8E86D69EF90EB017A312B357C4F1","19.00821","72.84415"
"Senior Power Electronics Engineer","SolarEdge","India","2025-07-25T06:43:45Z","Engineering Jobs","Are you ready to power the future? At SolarEdge (NASDAQ: SEDG), we're a global leader in smart energy technology, with over 4,000 employees, offices in 34 countries, and millions of installations worldwide. Our innovative solutions include solar inverters, battery storage, backup systems, EV charging, and AI-based energy management. We're committed to making clean, green energy the primary power source for homes, businesses, and beyond. With the growing demand for electricity, the need for smar…","https://www.adzuna.in/details/5321069169?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Senior Electrical engineer","ETAP","Mumbai, Maharashtra","2025-07-24T02:40:10Z","Engineering Jobs","ETAP empowers customers to make informed decisions throughout the life cycle of their projects with innovative software solutions for electrical systems. By applying ETAP solutions, customers experience continuous intelligence during design and engineering and into operations and maintenance using a unified electrical digital twin platform. ETAP supports customers in their digital transformation and sustainable energy transitions for a green and smart future, helping them to prioritize safety, …","https://www.adzuna.in/details/5318982334?utm_medium=api&utm_source=c8890522","19.00821","72.84415"
"Senior Project Manager","Ashoka Buildcon Limited","Maharashtra, India","2025-07-07T09:16:52Z","Engineering Jobs","Senior Project Manager - Electrical - Benin Rural Electrification Project Location - Benin - Cotonou, West Africa Roles & Responsibilities : Project Management: Develop and manage project schedules, budgets, and resources to ensure timely project delivery. Ensure compliance with local regulations, safety standards, and international best practices. Business Development : Explore and create business opportunities. Identification of the right partner for JV wherever needed. Ensuring timely submis…","https://www.adzuna.in/details/5289690829?utm_medium=api&utm_source=c8890522","19.439563","75.949555"
"Solar Site Engineer","Heliopath Solar Technologies","Shevgaon, Ahmednagar","2025-07-07T09:16:11Z","Engineering Jobs","Company Description Heliopath Solar Technologies is a leading provider of solar rooftop services across Gujarat and India, with headquarters in Vadodara. With a global vision in solar power development, we help our customers, partners, and communities harness solar energy in a simplified way to make their future more vibrant and sustainable. Our focus on innovation and renewable energy solutions ensures efficient and effective solar power projects. Role Description This is a full-time on-site r…","https://www.adzuna.in/details/5289689388?utm_medium=api&utm_source=c8890522","19.31985","75.2366"
