"Title","Company","Location","Created","Category","URL","Latitude","Longitude"
"Procurement Specialist","TD Synnex","Chennai, Tamil Nadu","2025-06-15T02:58:01Z","Sales Jobs","https://www.adzuna.in/details/5251186174?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Procurement Specialist","Allegion India","Bangalore, Karnataka","2025-06-21T03:21:51Z","Engineering Jobs","https://www.adzuna.in/details/5260744723?utm_medium=api&utm_source=c8890522","12.95703","77.59837"
"Procurement Specialist","DuPont Specialty Products India","India","2025-07-12T02:26:36Z","Logistics & Warehouse Jobs","https://www.adzuna.in/details/5298575047?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Procurement Specialist","VDart","India","2025-07-16T05:26:34Z","Logistics & Warehouse Jobs","https://www.adzuna.in/details/5305287658?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Procurement Specialist","KALPATARU PROJECTS INTERNATIONAL LIMITED","India","2025-06-25T10:04:23Z","Trade & Construction Jobs","https://www.adzuna.in/details/5266676332?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Procurement Specialist","Giant Eagle GCC","Bangalore, Karnataka","2025-07-07T09:12:57Z","Retail Jobs","https://www.adzuna.in/details/5289683018?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"Procurement Specialist","CGI","India","2025-07-19T02:44:26Z","IT Jobs","https://www.adzuna.in/details/5310711551?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Procurement Specialist","VXI Global Solutions","Hyderabad, Telangana","2025-07-14T09:35:20Z","Retail Jobs","https://www.adzuna.in/details/5301587495?utm_medium=api&utm_source=c8890522","17.40275","78.50806"
"Procurement Professional","IBM","Bangalore, Karnataka","2025-05-23T23:37:51Z","Retail Jobs","https://www.adzuna.in/land/ad/5212922339?se=DmLgSZZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=DA053C3618EED6115CC2FE09149A2DA7C8777FF1","12.95703","77.59837"
"Lead Sourcing Specialist - Buying/Procurement","GE Vernova","Vadodara, Gujarat","2025-07-13T10:38:14Z","Logistics & Warehouse Jobs","https://www.adzuna.in/land/ad/5300567763?se=DmLgSZZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=47DCBA34A27CDE1ACAFD8FD352C75A9C6C9B9B32","22.2891","73.1924"
