"Title","Company","Location","Created","Category","URL","Latitude","Longitude"
"Software QA Engineer","Autodesk","Pune, Maharashtra","2025-06-19T23:44:46Z","IT Jobs","https://www.adzuna.in/land/ad/5258440668?se=4nAwvoVk8BG0GtBv1vGMnA&utm_medium=api&utm_source=c8890522&v=80E2F2E1D7CAEB21F81DE702D8222123D9BA3B3D","18.5062","73.84735"
"Specialist : Electronics Hardware Development","Eaton Corporation","Hadapsar, Pune","2025-07-10T04:11:46Z","Engineering Jobs","https://www.adzuna.in/land/ad/5294873567?se=4nAwvoVk8BG0GtBv1vGMnA&utm_medium=api&utm_source=c8890522&v=DB5AE728C8C45BD999B0888A9185660E6765D1A9","18.5219","73.95314"
"Sr. Hardware Design Engineer","Amazon","Bangalore, Karnataka","2025-05-03T23:09:22Z","Engineering Jobs","https://www.adzuna.in/land/ad/5178895962?se=4nAwvoVk8BG0GtBv1vGMnA&utm_medium=api&utm_source=c8890522&v=CCE83F21AE76C67E88363F09A16D2EF71EB9B1A3","12.9767936","77.5900820"
"PCB Design Engineer","Presage Insights","Noida, Ghaziabad","2025-07-09T01:00:19Z","Engineering Jobs","https://www.adzuna.in/details/5292537864?utm_medium=api&utm_source=c8890522","28.56579","77.3225"
"PCB Design Engineer","Excellence and Eminence LLP","Bangalore, Karnataka","2025-06-06T20:42:28Z","Engineering Jobs","https://www.adzuna.in/details/5236360493?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"PCB Design Engineer","ATLANTA SYSTEMS PVT LTD","Sansad Marg, New Delhi","2025-06-26T03:26:05Z","Engineering Jobs","https://www.adzuna.in/details/5268384014?utm_medium=api&utm_source=c8890522","28.62623","77.21808"
"PCB Design Engineer","AadhyaRaj Technologies","India","2025-05-23T18:40:22Z","Engineering Jobs","https://www.adzuna.in/details/5212355253?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Design Engineer II- Electrical","Weatherford","Mumbai, Maharashtra","2025-06-28T23:47:18Z","Engineering Jobs","https://www.adzuna.in/land/ad/5273767464?se=4nAwvoVk8BG0GtBv1vGMnA&utm_medium=api&utm_source=c8890522&v=62B24358359944D2956A3B480231F733250C6D58","19.00821","72.84415"
"Jr.PCB Design Engineer","Jupiter Business Services Pvt. Ltd","Pune, Maharashtra","2025-06-06T20:49:27Z","Engineering Jobs","https://www.adzuna.in/details/5236373824?utm_medium=api&utm_source=c8890522","18.5062","73.84735"
"Lead PCB Design Engineer","Emerson","Pune, Maharashtra","2025-06-21T03:20:48Z","Engineering Jobs","https://www.adzuna.in/details/5260741979?utm_medium=api&utm_source=c8890522","18.5062","73.84735"
"Senior Engineer - Hardware","Eaton Corporation","Hadapsar, Pune","2025-07-03T01:45:06Z","Engineering Jobs","https://www.adzuna.in/land/ad/5280444166?se=4nAwvoVk8BG0GtBv1vGMnA&utm_medium=api&utm_source=c8890522&v=DFD419D2C084138F1C56EF035BB68691E3A9EBC2","18.5219","73.95314"
"Associate Engineer","Eaton Corporation","Hadapsar, Pune","2025-06-19T23:45:24Z","Engineering Jobs","https://www.adzuna.in/land/ad/5258445152?se=4nAwvoVk8BG0GtBv1vGMnA&utm_medium=api&utm_source=c8890522&v=03D0EE87327C383F8ED987100B350430D8787016","18.5219","73.95314"
"STAFF R&D/PRODUCT DVL ENGINEER","TE Connectivity","Bangalore, Karnataka","2025-05-09T23:14:45Z","Engineering Jobs","https://www.adzuna.in/land/ad/5190809363?se=4nAwvoVk8BG0GtBv1vGMnA&utm_medium=api&utm_source=c8890522&v=687158C35D13CE1F5CDFB2320A286B91AA7BE0A5","12.95703","77.59837"
