"Title","Company","Location","Created","Category","URL","Latitude","Longitude"
"2026 Campus Hire_Engineer_SW","Qualcomm","Hyderabad, Telangana","2025-07-18T11:45:29Z","Engineering Jobs","https://www.adzuna.in/land/ad/5309607761?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=52CCFD48FBB5EBE4227FA13C63845BBE08E77E60","17.40275","78.50806"
"Lead Engineer - Embedded SW Development","GE Vernova","Telangana, India","2025-07-06T02:11:19Z","Engineering Jobs","https://www.adzuna.in/land/ad/5288140528?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=EE06B3300EB741AB8470EB42F81659B6462EEFB8","17.864111","77.027375"
"Advanced Lead Engineer – Firmware Development","Wabtec India Industrial","India","2025-07-19T02:38:44Z","IT Jobs","https://www.adzuna.in/details/5310700140?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Firmware Development Senior Engineer - I","Emerson","Pune, Maharashtra","2025-04-25T01:56:30Z","Engineering Jobs","https://www.adzuna.in/details/5161043389?utm_medium=api&utm_source=c8890522","18.5062","73.84735"
"2026 Campus Hire_Associate Engineer_SW","Qualcomm","Chennai, Tamil Nadu","2025-07-18T11:45:29Z","Engineering Jobs","https://www.adzuna.in/land/ad/5309607764?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=DEA522E304143A28B6CE1397D3B7A1C0327688C4","13.06041","80.24963"
"2026 Campus Hire_Associate Engineer_SW","Qualcomm","Hyderabad, Telangana","2025-07-18T11:45:29Z","Engineering Jobs","https://www.adzuna.in/land/ad/5309607760?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=1C5C4A287AF14ABF424645B296469F00C896678D","17.40275","78.50806"
"Post Silicon Validation Tools Developer","IBM","Bangalore, Karnataka","2025-07-10T04:12:51Z","Engineering Jobs","https://www.adzuna.in/land/ad/5294875282?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=BEF14664ED578172A5127BF4F4E9A59002713FA3","12.95703","77.59837"
"CPU Power Management FW Developer","Qualcomm","Bangalore, Karnataka","2025-06-07T23:30:45Z","Engineering Jobs","https://www.adzuna.in/land/ad/5239073041?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=81E1E7BABEAEE6A3C713186FF3DD46666D3E6763","12.95703","77.59837"
"Wlan Software Engineer Senior","Qualcomm","Bangalore, Karnataka","2025-05-27T23:41:35Z","IT Jobs","https://www.adzuna.in/land/ad/5218905502?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=9DEFE2E1CBFB860D642FF5056F721EFD6CC18BB6","12.95703","77.59837"
"WLAN Firmware Lead Engineer Sr.","Qualcomm","Bangalore, Karnataka","2025-06-23T23:48:19Z","IT Jobs","https://www.adzuna.in/land/ad/5264294392?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=5C7028C80457DC43E29EF7AFEB7BFDD95667516F","12.95703","77.59837"
"Engineer - Embedded Systems","Qualcomm","Hyderabad, Telangana","2025-07-18T11:45:24Z","IT Jobs","https://www.adzuna.in/land/ad/5309607717?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=99ADE923C5E0AB78B6C15B9F215A0F6F6EC597A7","17.40275","78.50806"
"Tech Lead - Firmware","Resideo","India","2025-06-17T23:45:52Z","Engineering Jobs","https://www.adzuna.in/land/ad/5255136501?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=0DE148A7F67A77BB75E2EABBEFE563D4120DECDB","22.3511148","78.6677428"
"Technology Specialist - Firmware","Resideo","India","2025-07-16T10:39:58Z","Engineering Jobs","https://www.adzuna.in/land/ad/5305892144?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=AA6F821F75E0EBF78FA7EEF3D4EBD9359C861281","22.3511148","78.6677428"
"Senior Engineer - Embedded Linux Developer","Eaton Corporation","Hadapsar, Pune","2025-07-18T11:44:03Z","IT Jobs","https://www.adzuna.in/land/ad/5309606902?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=7E639A1A27AACEF882C02BABD264C52CA8CF0858","18.5219","73.95314"
"Android Firmware developer (C++/Java/HAL)",".IN2 Harman Connected Services India","India","2025-06-27T03:17:19Z","IT Jobs","https://www.adzuna.in/details/5270419094?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Software Engineer","Texas Instruments","Bangalore, Karnataka","2025-07-12T10:47:06Z","Engineering Jobs","https://www.adzuna.in/land/ad/5299206447?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=A831D21A71B7FFDC453B65DD1C22741B479A5770","12.9767936","77.5900820"
"Architect - Embedded Software Development","Emerson","Pune, Maharashtra","2025-06-20T23:43:36Z","IT Jobs","https://www.adzuna.in/land/ad/5260267337?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=3EEB584F1A1DC63231009BD1B60EF28D8621D6D4","18.5062","73.84735"
"Platform management Verification Engineer","IBM","Bangalore, Karnataka","2025-06-07T23:29:04Z","IT Jobs","https://www.adzuna.in/land/ad/5239060650?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=DFA2F03C4CC36A164AFBA27244DA2BE91CD844D4","12.95703","77.59837"
"Customer Engineer","Qualcomm","Chennai, Tamil Nadu","2025-05-15T23:15:23Z","IT Jobs","https://www.adzuna.in/land/ad/5200254956?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=70C835FE53708EF87A8AB25B681D1103B7EAD227","13.06041","80.24963"
"Senior Engineer, Firmware Verification Engineering- Python, C, Firmware Validation, Grey box, UFS/eMMC embedded NAND validation","SanDisk","Bangalore, Karnataka","2025-07-04T02:17:44Z","Engineering Jobs","https://www.adzuna.in/land/ad/5282461962?se=gFlSmJlk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=8D9E4B1B56950062D00E614272A4CE4754BCFC5E","12.9767936","77.5900820"
"Cellular 5G/4G Firmware Development & Verification Engineer","Apple","Bangalore, Karnataka","2025-07-01T20:23:21Z","Engineering Jobs","https://www.adzuna.in/details/5277813537?utm_medium=api&utm_source=c8890522","12.9767936","77.5900820"
"Senior Engineer, Systems Design Verification Engineering","SanDisk","Bangalore, Karnataka","2025-07-04T02:17:44Z","Engineering Jobs","https://www.adzuna.in/land/ad/5282461965?se=AKFco5lk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=5C26FB30949C9747F79AFAF1C06081BAA4CE0787","12.9767936","77.5900820"
"Audio DSP engineer","Logitech","Chennai, Tamil Nadu","2025-05-15T23:14:41Z","IT Jobs","https://www.adzuna.in/land/ad/5200244058?se=AKFco5lk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=5AC4AE1766A86E59404A8CF514A8629CF573DA2F","13.06041","80.24963"
"Customer Engineer - Staff","Qualcomm","Chennai, Tamil Nadu","2025-07-02T01:42:36Z","IT Jobs","https://www.adzuna.in/land/ad/5278417254?se=AKFco5lk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=A536ABDB11737522E459663AD2313710388E6B69","13.06041","80.24963"
"Lab Support Engineer, Customer Experience & Business Trends","Amazon","Bangalore, Karnataka","2025-03-22T23:12:29Z","IT Jobs","https://www.adzuna.in/land/ad/5106771241?se=AKFco5lk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=B447BA15F3BBB6F2D804D8FFE4D8C95ACC203C1D","12.95703","77.59837"
"Lead Engineer, Senior - Bootloader","Qualcomm","Bangalore, Karnataka","2025-06-27T23:45:19Z","IT Jobs","https://www.adzuna.in/land/ad/5271881507?se=AKFco5lk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=880C5D0FB684E2FCFA6E17B749A3E2A5B8CF9995","12.95703","77.59837"
